"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"106","2020-06-06 13:36:50,307767","192.168.100.121","63438","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"107","2020-06-06 13:36:50,313111","192.168.100.2","domain","192.168.100.121","63438","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"108","2020-06-06 13:36:50,313455","192.168.100.121","63439","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.16.ns.ostrykebs.pl"
"109","2020-06-06 13:36:50,346496","192.168.100.2","domain","192.168.100.121","63439","DNS","303","Standard query response 0x0002 TXT l.16.ns.ostrykebs.pl TXT"
"110","2020-06-06 13:36:50,434604","192.168.100.121","63440","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"111","2020-06-06 13:36:50,439949","192.168.100.2","domain","192.168.100.121","63440","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"112","2020-06-06 13:36:50,440267","192.168.100.121","63441","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.17.ns.ostrykebs.pl"
"113","2020-06-06 13:36:50,472090","192.168.100.2","domain","192.168.100.121","63441","DNS","93","Standard query response 0x0002 TXT l.17.ns.ostrykebs.pl TXT"
"114","2020-06-06 13:36:50,568520","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. TC + Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"115","2020-06-06 13:36:50,573356","192.168.100.121","63442","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"116","2020-06-06 13:36:50,582654","192.168.100.2","domain","192.168.100.121","63442","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"117","2020-06-06 13:36:50,583003","192.168.100.121","63443","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"118","2020-06-06 13:36:50,878200","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB WORKGROUP<1d>"
"119","2020-06-06 13:36:51,628727","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB WORKGROUP<1d>"
"120","2020-06-06 13:36:52,378437","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB WORKGROUP<1d>"
"121","2020-06-06 13:36:52,552584","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. TC + Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"122","2020-06-06 13:36:52,595523","192.168.100.2","domain","192.168.100.121","63443","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"123","2020-06-06 13:36:52,596010","192.168.100.121","","192.168.100.2","","ICMP","115","Destination unreachable (Port unreachable)"
"124","2020-06-06 13:36:52,793496","192.168.100.121","63444","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"125","2020-06-06 13:36:52,799107","192.168.100.2","domain","192.168.100.121","63444","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"126","2020-06-06 13:36:52,799587","192.168.100.121","63445","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"127","2020-06-06 13:36:53,128299","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB WORKGROUP<1d>"
